,cost,n_pass,flight
0,137.5,24.0,4296.0
1,137.5,33.0,4296.0
2,137.5,24.0,4296.0
3,137.5,44.0,4296.0
4,137.5,35.0,4295.0
5,137.5,18.0,4295.0
6,137.5,35.0,4295.0
7,137.5,18.0,4295.0
8,137.5,62.0,4298.0
9,137.5,18.0,4298.0
10,137.5,51.0,4298.0
11,137.5,18.0,4298.0
12,175.0,32.0,4229.0
13,175.0,22.0,4229.0
14,175.0,32.0,4229.0
15,175.0,22.0,4229.0
16,187.5,22.0,4232.0
17,187.5,16.0,4232.0
18,187.5,22.0,4232.0
19,187.5,16.0,4232.0
20,137.5,29.0,4301.0
21,137.5,11.0,4301.0
22,137.5,29.0,4301.0
23,137.5,11.0,4301.0
24,175.0,71.0,4618.0
25,175.0,8.0,4618.0
26,175.0,40.0,4618.0
27,175.0,39.0,4618.0
28,150.0,32.0,4617.0
29,150.0,15.0,4617.0
30,150.0,32.0,4617.0
31,150.0,15.0,4617.0
32,250.0,36.0,4619.0
33,250.0,13.0,4619.0
34,250.0,67.0,4619.0
35,250.0,13.0,4619.0
36,250.0,32.0,4620.0
37,250.0,22.0,4620.0
38,250.0,32.0,4620.0
39,250.0,22.0,4620.0
40,200.0,67.0,2624.0
41,200.0,13.0,2624.0
42,200.0,25.0,2624.0
43,200.0,36.0,2624.0
44,212.5,44.0,2623.0
45,212.5,10.0,2623.0
46,212.5,11.0,2623.0
47,212.5,8.0,2623.0
48,200.0,25.0,2630.0
49,200.0,12.0,2630.0
50,200.0,50.0,2630.0
51,200.0,7.0,2630.0
52,212.5,17.0,2629.0
53,212.5,10.0,2629.0
54,212.5,29.0,2629.0
55,212.5,10.0,2629.0
56,212.5,22.0,3064.0
57,212.5,16.0,3064.0
58,212.5,23.0,3064.0
59,212.5,15.0,3064.0
60,200.0,25.0,3069.0
61,200.0,12.0,3069.0
62,200.0,25.0,3069.0
63,200.0,12.0,3069.0
64,212.5,25.0,3074.0
65,212.5,12.0,3074.0
66,212.5,63.0,3074.0
67,212.5,13.0,3074.0
68,200.0,22.0,3077.0
69,200.0,12.0,3077.0
70,200.0,24.0,3077.0
71,200.0,10.0,3077.0
72,212.5,23.0,3082.0
73,212.5,10.0,3082.0
74,212.5,25.0,3082.0
75,212.5,26.0,3082.0
76,200.0,25.0,3085.0
77,200.0,11.0,3085.0
78,200.0,21.0,3085.0
79,200.0,12.0,3085.0
80,212.5,21.0,3092.0
81,212.5,14.0,3092.0
82,212.5,24.0,3092.0
83,212.5,13.0,3092.0
84,200.0,29.0,3095.0
85,200.0,14.0,3095.0
86,200.0,31.0,3095.0
87,200.0,13.0,3095.0
88,200.0,25.0,3065.0
89,200.0,13.0,3065.0
90,200.0,24.0,3065.0
91,200.0,13.0,3065.0
92,212.5,66.0,3070.0
93,212.5,10.0,3070.0
94,212.5,21.0,3070.0
95,212.5,18.0,3070.0
96,200.0,25.0,3075.0
97,200.0,12.0,3075.0
98,200.0,24.0,3075.0
99,200.0,13.0,3075.0
100,212.5,32.0,3080.0
101,212.5,12.0,3080.0
102,212.5,67.0,3080.0
103,212.5,13.0,3080.0
104,200.0,24.0,3083.0
105,200.0,13.0,3083.0
106,200.0,24.0,3083.0
107,200.0,13.0,3083.0
108,212.5,24.0,3090.0
109,212.5,11.0,3090.0
110,212.5,26.0,3090.0
111,212.5,7.0,3090.0
112,200.0,34.0,3093.0
113,200.0,18.0,3093.0
114,200.0,28.0,3093.0
115,200.0,18.0,3093.0
116,175.0,21.0,3118.0
117,175.0,18.0,3118.0
118,175.0,36.0,3118.0
119,175.0,28.0,3118.0
120,162.5,22.0,3119.0
121,162.5,11.0,3119.0
122,162.5,21.0,3119.0
123,162.5,29.0,3119.0
124,175.0,46.0,3124.0
125,175.0,13.0,3124.0
126,175.0,89.0,3124.0
127,175.0,23.0,3124.0
128,162.5,22.0,3123.0
129,162.5,12.0,3123.0
130,162.5,107.0,3123.0
131,162.5,26.0,3123.0
132,175.0,27.0,3128.0
133,175.0,37.0,3128.0
134,175.0,88.0,3128.0
135,175.0,21.0,3128.0
136,162.5,25.0,3131.0
137,162.5,16.0,3131.0
138,162.5,53.0,3131.0
139,162.5,56.0,3131.0
140,175.0,32.0,3138.0
141,175.0,17.0,3138.0
142,175.0,44.0,3138.0
143,175.0,60.0,3138.0
144,225.0,55.0,4498.0
145,225.0,13.0,4498.0
146,225.0,24.0,4498.0
147,225.0,44.0,4498.0
148,175.0,18.0,4515.0
149,175.0,12.0,4515.0
150,175.0,20.0,4515.0
151,175.0,10.0,4515.0
152,175.0,20.0,4506.0
153,175.0,18.0,4506.0
154,175.0,23.0,4506.0
155,175.0,15.0,4506.0
156,150.0,22.0,4519.0
157,150.0,11.0,4519.0
158,150.0,18.0,4519.0
159,150.0,16.0,4519.0
160,162.5,42.0,4520.0
161,162.5,28.0,4520.0
162,162.5,25.0,4520.0
163,162.5,12.0,4520.0
164,212.5,22.0,4499.0
165,212.5,21.0,4499.0
166,212.5,24.0,4499.0
167,212.5,19.0,4499.0
168,200.0,53.0,3103.0
169,200.0,11.0,3103.0
170,200.0,20.0,3103.0
171,200.0,19.0,3103.0
172,212.5,54.0,3068.0
173,212.5,12.0,3068.0
174,212.5,25.0,3068.0
175,212.5,11.0,3068.0
176,200.0,19.0,3073.0
177,200.0,20.0,3073.0
178,200.0,25.0,3073.0
179,200.0,12.0,3073.0
180,212.5,54.0,3088.0
181,212.5,11.0,3088.0
182,212.5,19.0,3088.0
183,212.5,39.0,3088.0
184,200.0,19.0,3081.0
185,200.0,17.0,3081.0
186,200.0,26.0,3081.0
187,200.0,11.0,3081.0
188,212.5,60.0,3102.0
189,212.5,17.0,3102.0
190,212.5,42.0,3102.0
191,212.5,30.0,3102.0
192,468.0,6.0,4600.0
193,200.0,10.0,4600.0
194,468.0,3.0,4600.0
195,200.0,9.0,4600.0
196,468.0,5.0,4600.0
197,200.0,9.0,4600.0
198,468.0,4.0,4600.0
199,200.0,7.0,4600.0
200,438.8,5.0,4599.0
201,187.5,9.0,4599.0
202,438.8,2.0,4599.0
203,187.5,4.0,4599.0
204,438.8,6.0,4599.0
205,187.5,10.0,4599.0
206,438.8,3.0,4599.0
207,187.5,5.0,4599.0
208,468.0,14.0,4602.0
209,200.0,22.0,4602.0
210,468.0,4.0,4602.0
211,200.0,7.0,4602.0
212,468.0,13.0,4602.0
213,200.0,22.0,4602.0
214,468.0,2.0,4602.0
215,200.0,9.0,4602.0
216,438.8,5.0,4601.0
217,187.5,10.0,4601.0
218,438.8,3.0,4601.0
219,187.5,5.0,4601.0
220,438.8,5.0,4601.0
221,187.5,8.0,4601.0
222,438.8,4.0,4601.0
223,187.5,7.0,4601.0
224,468.0,6.0,4596.0
225,200.0,10.0,4596.0
226,468.0,3.0,4596.0
227,200.0,6.0,4596.0
228,468.0,6.0,4596.0
229,200.0,19.0,4596.0
230,468.0,3.0,4596.0
231,200.0,5.0,4596.0
232,438.8,5.0,4595.0
233,187.5,13.0,4595.0
234,438.8,3.0,4595.0
235,187.5,9.0,4595.0
236,438.8,5.0,4595.0
237,187.5,13.0,4595.0
238,438.8,3.0,4595.0
239,187.5,7.0,4595.0
240,225.0,26.0,4656.0
241,225.0,17.0,4656.0
242,225.0,33.0,4656.0
243,225.0,19.0,4656.0
244,212.5,27.0,4645.0
245,212.5,15.0,4645.0
246,212.5,30.0,4645.0
247,212.5,22.0,4645.0
248,225.0,24.0,4648.0
249,225.0,19.0,4648.0
250,225.0,76.0,4648.0
251,225.0,16.0,4648.0
252,212.5,25.0,4649.0
253,212.5,14.0,4649.0
254,212.5,92.0,4649.0
255,212.5,16.0,4649.0
256,225.0,24.0,4652.0
257,225.0,17.0,4652.0
258,225.0,71.0,4652.0
259,225.0,13.0,4652.0
260,212.5,33.0,4655.0
261,212.5,12.0,4655.0
262,212.5,54.0,4655.0
263,212.5,74.0,4655.0
264,200.0,28.0,3107.0
265,200.0,28.0,3107.0
266,200.0,30.0,3107.0
267,200.0,12.0,3107.0
268,212.5,27.0,3108.0
269,212.5,39.0,3108.0
270,212.5,23.0,3108.0
271,212.5,21.0,3108.0
272,200.0,28.0,3097.0
273,200.0,15.0,3097.0
274,200.0,27.0,3097.0
275,200.0,17.0,3097.0
276,212.5,66.0,3086.0
277,212.5,26.0,3086.0
278,212.5,75.0,3086.0
279,212.5,21.0,3086.0
280,162.5,28.0,3127.0
281,162.5,11.0,3127.0
282,162.5,25.0,3127.0
283,162.5,17.0,3127.0
284,175.0,20.0,3134.0
285,175.0,18.0,3134.0
286,175.0,29.0,3134.0
287,175.0,14.0,3134.0
288,150.0,27.0,4165.0
289,150.0,18.0,4165.0
290,150.0,28.0,4165.0
291,150.0,16.0,4165.0
292,150.0,24.0,4170.0
293,150.0,21.0,4170.0
294,150.0,27.0,4170.0
295,150.0,16.0,4170.0
296,150.0,26.0,4171.0
297,150.0,19.0,4171.0
298,150.0,25.0,4171.0
299,150.0,15.0,4171.0
300,150.0,27.0,4180.0
301,150.0,12.0,4180.0
302,150.0,29.0,4180.0
303,150.0,14.0,4180.0
304,468.0,5.0,3067.0
305,200.0,7.0,3067.0
306,468.0,4.0,3067.0
307,200.0,5.0,3067.0
308,200.0,17.0,3067.0
309,200.0,3.0,3067.0
310,250.0,4.0,4784.0
311,250.0,2.0,4784.0
312,250.0,10.0,4784.0
313,250.0,11.0,4784.0
314,438.8,14.0,4679.0
315,187.5,13.0,4679.0
316,438.8,4.0,4679.0
317,187.5,14.0,4679.0
318,187.5,12.0,4679.0
319,187.5,3.0,4679.0
320,438.8,8.0,4678.0
321,187.5,15.0,4678.0
322,438.8,4.0,4678.0
323,187.5,7.0,4678.0
324,187.5,14.0,4678.0
325,187.5,5.0,4678.0
326,162.5,28.0,3117.0
327,162.5,15.0,3117.0
328,162.5,100.0,3117.0
329,162.5,19.0,3117.0
330,175.0,47.0,3144.0
331,175.0,20.0,3144.0
332,175.0,93.0,3144.0
333,175.0,13.0,3144.0
334,187.5,27.0,2869.0
335,187.5,17.0,2869.0
336,187.5,65.0,2869.0
337,187.5,69.0,2869.0
338,175.0,16.0,2878.0
339,175.0,26.0,2878.0
340,175.0,78.0,2878.0
341,175.0,23.0,2878.0
342,162.5,28.0,3135.0
343,162.5,27.0,3135.0
344,162.5,70.0,3135.0
345,162.5,25.0,3135.0
346,225.0,22.0,4544.0
347,225.0,21.0,4544.0
348,225.0,21.0,4544.0
349,225.0,24.0,4544.0
350,212.5,29.0,4547.0
351,212.5,19.0,4547.0
352,212.5,30.0,4547.0
353,212.5,18.0,4547.0
354,351.0,9.0,4684.0
355,150.0,24.0,4684.0
356,351.0,2.0,4684.0
357,150.0,4.0,4684.0
358,150.0,74.0,4684.0
359,150.0,18.0,4684.0
360,351.0,5.0,4685.0
361,150.0,10.0,4685.0
362,351.0,3.0,4685.0
363,150.0,6.0,4685.0
364,150.0,46.0,4685.0
365,150.0,14.0,4685.0
366,526.5,3.0,4526.0
367,225.0,6.0,4526.0
368,526.5,2.0,4526.0
369,225.0,3.0,4526.0
370,225.0,69.0,4526.0
371,225.0,31.0,4526.0
372,497.2,9.0,4533.0
373,212.5,15.0,4533.0
374,497.2,2.0,4533.0
375,212.5,5.0,4533.0
376,212.5,36.0,4533.0
377,212.5,43.0,4533.0
378,212.5,28.0,4523.0
379,212.5,26.0,4523.0
380,212.5,24.0,4523.0
381,212.5,19.0,4523.0
382,225.0,30.0,4524.0
383,225.0,39.0,4524.0
384,225.0,22.0,4524.0
385,225.0,21.0,4524.0
386,212.5,29.0,4527.0
387,212.5,12.0,4527.0
388,212.5,50.0,4527.0
389,212.5,15.0,4527.0
390,225.0,72.0,4530.0
391,225.0,13.0,4530.0
392,225.0,39.0,4530.0
393,225.0,15.0,4530.0
394,212.5,39.0,4531.0
395,212.5,17.0,4531.0
396,212.5,32.0,4531.0
397,212.5,25.0,4531.0
398,225.0,44.0,4534.0
399,225.0,17.0,4534.0
400,225.0,68.0,4534.0
401,225.0,21.0,4534.0
402,409.5,6.0,4514.0
403,175.0,10.0,4514.0
404,409.5,3.0,4514.0
405,175.0,5.0,4514.0
406,409.5,6.0,4514.0
407,175.0,10.0,4514.0
408,409.5,3.0,4514.0
409,175.0,16.0,4514.0
410,409.5,6.0,4503.0
411,175.0,11.0,4503.0
412,409.5,2.0,4503.0
413,175.0,4.0,4503.0
414,409.5,5.0,4503.0
415,175.0,10.0,4503.0
416,409.5,3.0,4503.0
417,175.0,6.0,4503.0
418,409.5,6.0,4516.0
419,175.0,11.0,4516.0
420,409.5,2.0,4516.0
421,175.0,4.0,4516.0
422,409.5,7.0,4516.0
423,175.0,17.0,4516.0
424,409.5,4.0,4516.0
425,175.0,8.0,4516.0
426,409.5,5.0,4509.0
427,175.0,9.0,4509.0
428,409.5,3.0,4509.0
429,175.0,5.0,4509.0
430,409.5,4.0,4509.0
431,175.0,8.0,4509.0
432,409.5,4.0,4509.0
433,175.0,8.0,4509.0
434,175.0,7.0,4510.0
435,175.0,5.0,4510.0
436,409.5,1.0,4510.0
437,175.0,10.0,4510.0
438,409.5,1.0,4510.0
439,175.0,5.0,4510.0
440,409.5,4.0,4513.0
441,175.0,10.0,4513.0
442,409.5,4.0,4513.0
443,175.0,10.0,4513.0
444,409.5,6.0,4513.0
445,175.0,14.0,4513.0
446,409.5,2.0,4513.0
447,175.0,6.0,4513.0
448,200.0,28.0,4314.0
449,200.0,46.0,4314.0
450,200.0,55.0,4314.0
451,200.0,12.0,4314.0
452,187.5,39.0,4315.0
453,187.5,22.0,4315.0
454,187.5,43.0,4315.0
455,187.5,16.0,4315.0
456,200.0,57.0,4320.0
457,200.0,20.0,4320.0
458,200.0,60.0,4320.0
459,200.0,11.0,4320.0
460,187.5,68.0,4317.0
461,187.5,24.0,4317.0
462,187.5,33.0,4317.0
463,187.5,27.0,4317.0
464,200.0,42.0,4322.0
465,200.0,38.0,4322.0
466,200.0,45.0,4322.0
467,200.0,36.0,4322.0
468,187.5,26.0,4319.0
469,187.5,18.0,4319.0
470,187.5,29.0,4319.0
471,187.5,13.0,4319.0
472,200.0,39.0,4324.0
473,200.0,56.0,4324.0
474,200.0,40.0,4324.0
475,200.0,38.0,4324.0
476,187.5,17.0,4321.0
477,187.5,18.0,4321.0
478,187.5,28.0,4321.0
479,187.5,16.0,4321.0
480,212.5,44.0,4404.0
481,212.5,26.0,4404.0
482,212.5,58.0,4404.0
483,212.5,12.0,4404.0
484,187.5,53.0,4405.0
485,187.5,13.0,4405.0
486,187.5,24.0,4405.0
487,187.5,15.0,4405.0
488,200.0,67.0,4408.0
489,200.0,12.0,4408.0
490,200.0,43.0,4408.0
491,200.0,12.0,4408.0
492,187.5,75.0,4411.0
493,187.5,28.0,4411.0
494,187.5,43.0,4411.0
495,187.5,13.0,4411.0
496,200.0,53.0,4412.0
497,200.0,11.0,4412.0
498,200.0,25.0,4412.0
499,200.0,12.0,4412.0
500,187.5,30.0,4415.0
501,187.5,57.0,4415.0
502,187.5,29.0,4415.0
503,187.5,10.0,4415.0
504,200.0,79.0,4416.0
505,200.0,12.0,4416.0
506,200.0,40.0,4416.0
507,200.0,12.0,4416.0
508,187.5,35.0,4421.0
509,187.5,14.0,4421.0
510,187.5,23.0,4421.0
511,187.5,11.0,4421.0
512,212.5,40.0,4643.0
513,212.5,15.0,4643.0
514,212.5,15.0,4643.0
515,212.5,9.0,4643.0
516,200.0,24.0,2972.0
517,200.0,14.0,2972.0
518,200.0,24.0,2972.0
519,200.0,5.0,2972.0
520,250.0,29.0,4431.0
521,250.0,33.0,4431.0
522,250.0,28.0,4431.0
523,250.0,6.0,4431.0
524,250.0,64.0,4432.0
525,250.0,17.0,4432.0
526,250.0,15.0,4432.0
527,250.0,14.0,4432.0
528,250.0,37.0,4437.0
529,250.0,23.0,4437.0
530,250.0,25.0,4437.0
531,250.0,8.0,4437.0
532,250.0,86.0,4434.0
533,250.0,18.0,4434.0
534,250.0,18.0,4434.0
535,250.0,7.0,4434.0
536,212.5,33.0,4375.0
537,212.5,30.0,4375.0
538,212.5,56.0,4375.0
539,212.5,23.0,4375.0
540,225.0,64.0,4376.0
541,225.0,15.0,4376.0
542,225.0,72.0,4376.0
543,225.0,14.0,4376.0
544,200.0,23.0,3111.0
545,200.0,22.0,3111.0
546,200.0,26.0,3111.0
547,200.0,18.0,3111.0
548,212.5,75.0,3112.0
549,212.5,17.0,3112.0
550,212.5,60.0,3112.0
551,212.5,31.0,3112.0
552,200.0,41.0,4365.0
553,200.0,49.0,4365.0
554,200.0,65.0,4365.0
555,200.0,24.0,4365.0
556,212.5,55.0,4368.0
557,212.5,14.0,4368.0
558,212.5,46.0,4368.0
559,212.5,10.0,4368.0
560,212.5,29.0,4364.0
561,212.5,14.0,4364.0
562,212.5,26.0,4364.0
563,212.5,17.0,4364.0
564,200.0,37.0,4363.0
565,200.0,58.0,4363.0
566,200.0,42.0,4363.0
567,200.0,19.0,4363.0
568,212.5,60.0,4366.0
569,212.5,19.0,4366.0
570,212.5,44.0,4366.0
571,212.5,50.0,4366.0
572,200.0,75.0,4369.0
573,200.0,24.0,4369.0
574,200.0,75.0,4369.0
575,200.0,24.0,4369.0
576,212.5,55.0,4370.0
577,212.5,9.0,4370.0
578,212.5,23.0,4370.0
579,212.5,14.0,4370.0
580,200.0,33.0,4371.0
581,200.0,21.0,4371.0
582,200.0,36.0,4371.0
583,200.0,17.0,4371.0
584,200.0,74.0,4385.0
585,200.0,19.0,4385.0
586,200.0,38.0,4385.0
587,200.0,24.0,4385.0
588,212.5,78.0,4386.0
589,212.5,14.0,4386.0
590,212.5,42.0,4386.0
591,212.5,38.0,4386.0
592,200.0,46.0,4387.0
593,200.0,25.0,4387.0
594,200.0,49.0,4387.0
595,200.0,46.0,4387.0
596,212.5,58.0,4388.0
597,212.5,15.0,4388.0
598,212.5,62.0,4388.0
599,212.5,15.0,4388.0
600,237.5,70.0,4459.0
601,237.5,32.0,4459.0
602,237.5,28.0,4459.0
603,237.5,37.0,4459.0
604,237.5,38.0,4454.0
605,237.5,24.0,4454.0
606,237.5,80.0,4454.0
607,237.5,19.0,4454.0
608,150.0,46.0,4164.0
609,150.0,26.0,4164.0
610,150.0,29.0,4164.0
611,150.0,43.0,4164.0
612,187.5,76.0,2883.0
613,187.5,15.0,2883.0
614,187.5,34.0,2883.0
615,187.5,46.0,2883.0
616,200.0,75.0,2892.0
617,200.0,17.0,2892.0
618,200.0,53.0,2892.0
619,200.0,16.0,2892.0
620,187.5,53.0,2895.0
621,187.5,26.0,2895.0
622,187.5,66.0,2895.0
623,187.5,17.0,2895.0
624,200.0,51.0,2908.0
625,200.0,25.0,2908.0
626,200.0,44.0,2908.0
627,200.0,15.0,2908.0
628,150.0,34.0,4189.0
629,150.0,15.0,4189.0
630,150.0,39.0,4189.0
631,150.0,20.0,4189.0
632,237.5,45.0,4475.0
633,237.5,29.0,4475.0
634,237.5,98.0,4475.0
635,237.5,26.0,4475.0
636,225.0,51.0,4476.0
637,225.0,27.0,4476.0
638,225.0,91.0,4476.0
639,225.0,16.0,4476.0
640,200.0,61.0,3091.0
641,200.0,28.0,3091.0
642,200.0,50.0,3091.0
643,200.0,57.0,3091.0
644,212.5,29.0,3084.0
645,212.5,10.0,3084.0
646,212.5,46.0,3084.0
647,212.5,19.0,3084.0
648,200.0,75.0,3099.0
649,200.0,15.0,3099.0
650,200.0,52.0,3099.0
651,200.0,14.0,3099.0
652,150.0,31.0,3094.0
653,150.0,9.0,3094.0
654,150.0,52.0,3094.0
655,150.0,21.0,3094.0
656,187.5,36.0,4224.0
657,187.5,15.0,4224.0
658,187.5,35.0,4224.0
